WARD,COUNTCRIME,YEAR
1,2026,2005
1,1959,2006
1,1878,2007
1,1941,2008
1,1743,2009
1,1638,2010
1,1444,2011
1,1389,2012
1,1182,2013
1,1039,2014
1,0,0
2,3966,2005
2,3811,2006
2,3761,2007
2,3585,2008
2,3069,2009
2,3110,2010
2,2895,2011
2,2844,2012
2,2596,2013
2,2496,2014
2,0,0
3,3825,2005
3,3524,2006
3,3014,2007
3,3012,2008
3,2536,2009
3,2181,2010
3,2201,2011
3,2066,2012
3,1891,2013
3,1631,2014
3,0,0
4,2200,2005
4,1890,2006
4,2053,2007
4,1696,2008
4,1542,2009
4,1439,2010
4,1383,2011
4,1227,2012
4,1080,2013
4,994,2014
4,0,0
5,2625,2005
5,2433,2006
5,2480,2007
5,2265,2008
5,2123,2009
5,2071,2010
5,1916,2011
5,1920,2012
5,1882,2013
5,1507,2014
5,0,0
6,3325,2005
6,3256,2006
6,3383,2007
6,3230,2008
6,3008,2009
6,2793,2010
6,2665,2011
6,2677,2012
6,2421,2013
6,2040,2014
6,0,0
7,2635,2005
7,2720,2006
7,2811,2007
7,2605,2008
7,2448,2009
7,2212,2010
7,2301,2011
7,2151,2012
7,1870,2013
7,1751,2014
7,0,0
8,2721,2005
8,2878,2006
8,2867,2007
8,2715,2008
8,2408,2009
8,2271,2010
8,2255,2011
8,2067,2012
8,1925,2013
8,1873,2014
8,0,0
9,2542,2005
9,2574,2006
9,2656,2007
9,2384,2008
9,2219,2009
9,2107,2010
9,2062,2011
9,1984,2012
9,1779,2013
9,1625,2014
9,0,0
10,1666,2005
10,1748,2006
10,1644,2007
10,1583,2008
10,1542,2009
10,1506,2010
10,1569,2011
10,1407,2012
10,1229,2013
10,1117,2014
10,0,0
11,1482,2005
11,1407,2006
11,1325,2007
11,1318,2008
11,1211,2009
11,1141,2010
11,1064,2011
11,1046,2012
11,916,2013
11,836,2014
11,0,0
12,1278,2005
12,1275,2006
12,1183,2007
12,1149,2008
12,993,2009
12,994,2010
12,1030,2011
12,931,2012
12,794,2013
12,818,2014
12,0,0
13,1238,2005
13,1370,2006
13,1253,2007
13,1407,2008
13,1198,2009
13,1050,2010
13,1094,2011
13,955,2012
13,859,2013
13,822,2014
13,0,0
14,1458,2005
14,1406,2006
14,1441,2007
14,1350,2008
14,1264,2009
14,1231,2010
14,1317,2011
14,1100,2012
14,959,2013
14,901,2014
14,0,0
15,2830,2005
15,3091,2006
15,2942,2007
15,2914,2008
15,2588,2009
15,2605,2010
15,2441,2011
15,2261,2012
15,1907,2013
15,1590,2014
15,0,0
16,3094,2005
16,3162,2006
16,3073,2007
16,2841,2008
16,2524,2009
16,2518,2010
16,2412,2011
16,2257,2012
16,1973,2013
16,1763,2014
16,0,0
17,3343,2005
17,3299,2006
17,3583,2007
17,3459,2008
17,3022,2009
17,2969,2010
17,2843,2011
17,2610,2012
17,2357,2013
17,2145,2014
17,0,0
18,1740,2005
18,1891,2006
18,1826,2007
18,1770,2008
18,1595,2009
18,1574,2010
18,1485,2011
18,1234,2012
18,1123,2013
18,1006,2014
18,0,0
19,965,2005
19,893,2006
19,900,2007
19,918,2008
19,834,2009
19,795,2010
19,694,2011
19,661,2012
19,550,2013
19,515,2014
19,0,0
20,3528,2005
20,3644,2006
20,3546,2007
20,3151,2008
20,3101,2009
20,2997,2010
20,2699,2011
20,2500,2012
20,2247,2013
20,1882,2014
20,0,0
21,3052,2005
21,3066,2006
21,3202,2007
21,2954,2008
21,2683,2009
21,2652,2010
21,2457,2011
21,2285,2012
21,2288,2013
21,1934,2014
21,0,0
22,1119,2005
22,1112,2006
22,1179,2007
22,1125,2008
22,1009,2009
22,1028,2010
22,994,2011
22,850,2012
22,837,2013
22,728,2014
22,0,0
23,1427,2005
23,1484,2006
23,1483,2007
23,1319,2008
23,1219,2009
23,993,2010
23,956,2011
23,939,2012
23,845,2013
23,747,2014
23,0,0
24,3849,2005
24,3812,2006
24,3744,2007
24,3523,2008
24,3055,2009
24,3249,2010
24,3037,2011
24,3080,2012
24,3016,2013
24,2760,2014
24,0,0
25,1352,2005
25,1411,2006
25,1320,2007
25,1255,2008
25,1158,2009
25,1142,2010
25,1048,2011
25,1061,2012
25,976,2013
25,886,2014
25,0,0
26,1916,2005
26,1884,2006
26,1644,2007
26,1553,2008
26,1630,2009
26,1562,2010
26,1352,2011
26,1283,2012
26,1046,2013
26,900,2014
26,0,0
27,4175,2005
27,3748,2006
27,3518,2007
27,3304,2008
27,3162,2009
27,2944,2010
27,2670,2011
27,2735,2012
27,2515,2013
27,2218,2014
27,0,0
28,4730,2005
28,4979,2006
28,4505,2007
28,4370,2008
28,3998,2009
28,3884,2010
28,3548,2011
28,3628,2012
28,3600,2013
28,3255,2014
28,0,0
29,2396,2005
29,2337,2006
29,2400,2007
29,2224,2008
29,2140,2009
29,2078,2010
29,2117,2011
29,1872,2012
29,1649,2013
29,1495,2014
29,0,0
30,1455,2005
30,1432,2006
30,1454,2007
30,1379,2008
30,1365,2009
30,1227,2010
30,1187,2011
30,1082,2012
30,954,2013
30,859,2014
30,0,0
31,1427,2005
31,1418,2006
31,1377,2007
31,1358,2008
31,1357,2009
31,1257,2010
31,1141,2011
31,1083,2012
31,993,2013
31,907,2014
31,0,0
32,1600,2005
32,1695,2006
32,1737,2007
32,1789,2008
32,1626,2009
32,1512,2010
32,1343,2011
32,1245,2012
32,1100,2013
32,985,2014
32,0,0
33,1081,2005
33,1088,2006
33,940,2007
33,910,2008
33,908,2009
33,941,2010
33,895,2011
33,771,2012
33,685,2013
33,578,2014
33,0,0
34,3019,2005
34,3124,2006
34,3181,2007
34,2933,2008
34,2682,2009
34,2441,2010
34,2402,2011
34,2219,2012
34,1946,2013
34,1704,2014
34,0,0
35,1386,2005
35,1405,2006
35,1293,2007
35,1219,2008
35,1167,2009
35,1172,2010
35,1081,2011
35,1033,2012
35,866,2013
35,716,2014
35,0,0
36,1053,2005
36,1073,2006
36,1028,2007
36,1110,2008
36,1117,2009
36,957,2010
36,886,2011
36,782,2012
36,667,2013
36,582,2014
36,0,0
37,2781,2005
37,2692,2006
37,2831,2007
37,2728,2008
37,2656,2009
37,2354,2010
37,2210,2011
37,2093,2012
37,1924,2013
37,1696,2014
37,0,0
38,1126,2005
38,969,2006
38,1003,2007
38,1098,2008
38,1019,2009
38,890,2010
38,881,2011
38,800,2012
38,758,2013
38,646,2014
38,0,0
39,910,2005
39,955,2006
39,898,2007
39,996,2008
39,884,2009
39,848,2010
39,773,2011
39,695,2012
39,624,2013
39,539,2014
39,0,0
40,1130,2005
40,1176,2006
40,1060,2007
40,1009,2008
40,930,2009
40,899,2010
40,736,2011
40,762,2012
40,708,2013
40,593,2014
40,0,0
41,939,2005
41,1074,2006
41,1053,2007
41,1051,2008
41,862,2009
41,828,2010
41,846,2011
41,841,2012
41,768,2013
41,763,2014
41,0,0
42,3430,2005
42,3408,2006
42,3424,2007
42,3537,2008
42,3133,2009
42,3086,2010
42,3129,2011
42,3229,2012
42,3058,2013
42,2695,2014
42,0,0
43,1224,2005
43,1236,2006
43,1291,2007
43,1282,2008
43,1071,2009
43,1100,2010
43,1017,2011
43,967,2012
43,848,2013
43,830,2014
43,0,0
44,1243,2005
44,1173,2006
44,1235,2007
44,1310,2008
44,1221,2009
44,1222,2010
44,1249,2011
44,1241,2012
44,1081,2013
44,910,2014
44,0,0
45,1005,2005
45,1027,2006
45,898,2007
45,1049,2008
45,894,2009
45,824,2010
45,761,2011
45,808,2012
45,801,2013
45,665,2014
45,0,0
46,1455,2005
46,1413,2006
46,1344,2007
46,1240,2008
46,1089,2009
46,1090,2010
46,982,2011
46,1080,2012
46,938,2013
46,825,2014
46,0,0
47,1094,2005
47,1121,2006
47,976,2007
47,960,2008
47,935,2009
47,879,2010
47,823,2011
47,727,2012
47,710,2013
47,615,2014
47,0,0
48,1194,2005
48,1052,2006
48,927,2007
48,896,2008
48,831,2009
48,800,2010
48,790,2011
48,757,2012
48,632,2013
48,546,2014
48,0,0
49,1659,2005
49,1536,2006
49,1419,2007
49,1324,2008
49,1247,2009
49,1172,2010
49,1097,2011
49,1053,2012
49,921,2013
49,770,2014
49,0,0
50,1078,2005
50,1174,2006
50,948,2007
50,1018,2008
50,960,2009
50,914,2010
50,869,2011
50,778,2012
50,701,2013
50,617,2014
50,0,0
