WARD,pArsons,Pbattery,Pburglary,Pgambling,Phomicide,pKidnapp,POffemceCh,pProstitution,Probbery,pSexualAssault,Ptheft
1,2.15,1.34,2.39,0.23,0.85,1.01,0.83,1.37,1.68,1.3,3.04
2,1.56,3.02,1.65,2.84,2.16,1.3,2.26,6.7,3.1,2.43,5.54
3,1.86,3.4,2.06,2.84,3.01,1.73,2.77,5.53,3.32,2.46,2.32
4,1.04,1.84,1.64,2.06,1.13,2.16,2.04,0.07,1.82,1.2,1.92
5,1.71,2.65,3.2,2.56,3.2,2.16,3.21,0.29,3.14,3.01,2.22
6,2.9,3.59,3.45,2.29,4.32,2.89,3.98,2.11,5.45,4.01,2.68
7,2.53,3.36,3.45,2.79,3.57,2.89,3.58,2.19,2.9,3.35,1.87
8,3.05,3.16,3.46,1.97,3.57,1.73,3.38,0.41,3.74,3.67,2.22
9,2.9,3.02,2.56,2.29,4.23,2.89,3.86,3.14,2.63,2.69,1.8
10,2.45,1.83,2.14,0.73,2.35,3.03,3.01,0.43,1.29,1.61,1.29
11,1.71,1.23,1.55,0.18,0.75,0.87,1.3,0.62,0.92,1.17,1.51
12,1.49,1.24,1.11,0.05,1.6,1.15,1.45,1.48,0.79,1.52,1.14
13,1.63,1.02,1.78,0.37,0.66,2.45,1.64,0.07,1.15,0.95,1.62
14,2.6,1.27,1.66,0.14,1.88,2.16,1.76,2.91,1.32,1.83,1.3
15,2.97,3.4,3.49,4.85,5.45,3.46,3.49,2.56,3.55,4.36,2.01
16,3.49,3.58,3.28,6.54,4.89,2.89,2.94,3.25,3.01,2.78,1.87
17,4.01,4.37,4.01,5.12,6.02,2.74,3.93,3.35,3.89,4.8,2.2
18,2.15,1.75,2.73,0.78,1.97,3.61,2.08,0.3,2.05,1.96,1.42
19,0.45,0.69,1.03,0.18,0.56,3.9,2.27,0.01,0.7,0.79,1.06
20,3.27,4.12,3.64,4.62,5.08,3.46,3.53,3.99,4.16,4.39,2.17
21,2.45,3.19,3.1,3.02,3.57,3.61,3.53,0.87,3.89,4.08,2.76
22,2.53,1.26,0.94,0.55,3.1,1.44,1.39,0.64,1.44,1.45,0.84
23,1.49,0.96,1.58,0.37,0.47,2.31,1.32,5.5,0.86,0.88,1.3
24,4.68,4.32,2.65,9.61,5.83,3.32,2.84,5.84,4.46,3.67,2.27
25,1.49,1.18,1.22,1.1,1.32,1.15,1.18,0.85,1.16,1.11,1.63
26,3.19,1.89,1.98,0.46,1.22,1.01,2.1,2.67,1.38,1.3,1.37
27,3.64,3.4,2.08,7.91,4.23,2.6,2.41,1.26,3.09,3.1,3.61
28,4.01,1.25,2.38,13.63,5.92,4.47,3.21,13.9,5.21,4.3,2.52
29,2.67,2.83,2.06,5.58,2.07,3.32,2.96,0.87,2.45,2.37,1.47
30,2.82,1.4,1.81,0.09,1.03,2.16,1.55,5.28,1.47,1.58,1.12
31,3.19,1.37,1.88,0.09,1.22,1.73,1.75,2.67,1.22,1.36,1.22
32,0.97,0.88,2.69,0.27,0.19,0.87,0.46,1.87,1.19,0.79,3.35
33,1.11,0.99,1.2,2.56,0.38,0.87,1.52,0.69,0.83,1.17,0.99
34,3.49,3.44,3.61,0.05,4.23,3.9,3.54,0.89,3.18,3.54,1.94
35,2.53,1.18,1.83,0.18,0.75,1.3,1.67,0.38,1.36,1.3,1.43
36,1.11,0.8,1.4,6.59,0.38,1.44,0.92,0.02,0.64,0.44,1.44
37,3.71,3.01,2.19,0.41,2.54,2.02,3.01,3.81,3.01,2.4,2.1
38,0.82,0.9,1.27,0.41,0.47,1.88,1.11,0.12,0.62,0.95,1.14
39,0.74,0.8,1.27,0.05,0.19,2.02,0.9,0.29,0.69,0.63,1.06
40,1.11,0.93,1.25,0.09,0.09,0.72,0.72,0.38,0.85,1.01,1.22
41,0.45,0.64,0.61,0.14,0.28,1.59,0.78,0.17,0.16,0.35,1.39
42,0.07,2.01,1.13,0.23,0.85,0.72,0.69,5.8,2.28,2.5,9.1
43,0.22,0.7,1.34,0.27,0.09,1.01,0.48,0.3,1.1,0.92,2.64
44,0.3,0.99,1.51,0.18,0.09,0.14,0.21,0.87,1.58,1.61,2.52
45,1.04,0.85,1.12,0.5,0.47,1.44,1.52,0.07,0.46,0.76,1.22
46,0.89,1.2,0.78,0.55,0.56,0.87,0.99,1.01,0.94,1.39,1.6
47,0.97,0.57,1.62,0.32,0.09,0.72,0.81,0.23,0.6,1.25,1.62
48,0.52,0.89,0.81,0.5,0.19,0.43,0.97,0.18,0.95,1.01,1.29
49,0.89,1.48,1.06,0.55,0.66,1.44,1.2,1.58,1.49,1.71,1.34
50,0.97,0.88,1.38,0.32,0.28,1.01,0.97,0.23,0.84,0.73,1.3
